text,real_labels,predicted_labels
The staff were very nice and they held our bags for 4 days while we went to a different area .,"[{""aspect"": ""staff"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""SERVICE#HOSPITALITY""}]"
It ' s also a very good price for the area .,"[{""aspect"": ""price"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""price"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""HOTEL#PRICE""}]"
"( weekends ) Why ? Price - just great value ! Location - 200 metres from the beach , bars & restaurants Room - Small , basic , but clean and functional for a weekend break Staff - always friendly .","[{""aspect"": ""Price"", ""opinion"": ""great value"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""Room"", ""opinion"": ""Small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""Room"", ""opinion"": ""basic"", ""polarity"": ""NEU"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""Room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""Room"", ""opinion"": ""functional"", ""polarity"": ""NEU"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""Staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}]","[{""aspect"": ""Price"", ""polarity"": ""POS"", ""opinion"": ""great value"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""Location"", ""polarity"": ""POS"", ""opinion"": ""200 metres"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""Bars & restaurants"", ""polarity"": ""POS"", ""opinion"": ""200 metres"", ""category"": ""LOCATION#ENTERTAINMENT""}, {""aspect"": ""Room"", ""polarity"": ""NEU"", ""opinion"": ""Small"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""basic"", ""category"": ""ROOM#CLEANLINESS""}]"
I stayed two nights with a friend and loved this place .,"[{""aspect"": ""place"", ""opinion"": ""loved"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""loved"", ""category"": ""HOTEL#GENERAL""}]"
"It doesnt have a fridge or a iron but it doesnt matter as we ate out and got our ironing done around the corner for 50 cents a piece ! Fabulous friendly staff to greet us and in perfect location for beach , shops , restaurants etc .","[{""aspect"": ""fridge"", ""opinion"": ""doesnt have"", ""polarity"": ""NEG"", ""category"": ""ROOM#FACILITY""}, {""aspect"": ""iron"", ""opinion"": ""doesnt have"", ""polarity"": ""NEG"", ""category"": ""ROOM#FACILITY""}, {""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""location"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""Fabulous"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""LOCATION#GENERAL""}]"
This is a fairly new hotel & being only a few hundred metres to the beach & within walking distance to the shops it is well located .,"[{""aspect"": ""hotel"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""HOTEL#AMBIENCE""}, {""aspect"": ""beach"", ""opinion"": ""walking distance"", ""polarity"": ""POS"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""hotel"", ""opinion"": ""well located"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""HOTEL#AMBIENCE""}, {""aspect"": ""beach"", ""polarity"": ""POS"", ""opinion"": ""quiet"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""shops"", ""polarity"": ""POS"", ""opinion"": ""walking distance"", ""category"": ""LOCATION#NEARBY_AMENITIES""}]"
A nice and cheap place to stay in ! Close to seminyak beach .,"[{""aspect"": ""place"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""place"", ""opinion"": ""cheap"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""seminyak beach"", ""polarity"": ""POS"", ""opinion"": ""cheap"", ""category"": ""HOTEL#PRICE""}]"
Room is small but sufficient if all ure after is a place to sleep in .,"[{""aspect"": ""Room"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""Room"", ""opinion"": ""sufficient"", ""polarity"": ""NEU"", ""category"": ""ROOM#GENERAL""}]","[{""aspect"": ""Room"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
"Toilet , tv and airconditioner works well .","[{""aspect"": ""Toilet"", ""opinion"": ""works well"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""tv"", ""opinion"": ""works well"", ""polarity"": ""POS"", ""category"": ""ROOM#AMENITIES""}]","[{""aspect"": ""Toilet"", ""polarity"": ""POS"", ""opinion"": ""works well"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""tv"", ""polarity"": ""POS"", ""opinion"": ""works well"", ""category"": ""ROOM#AMENITIES""}, {""aspect"": ""airconditioner"", ""polarity"": ""POS"", ""opinion"": ""works well"", ""category"": ""ROOM#AIRCON""}]"
Note that no breakfast is included .,"[{""aspect"": ""no"", ""opinion"": ""breakfast"", ""polarity"": ""NEG"", ""category"": ""FOOD#GENERAL""}]","[{""aspect"": ""breakfast"", ""polarity"": ""NEG"", ""opinion"": ""no"", ""category"": ""FOOD#GENERAL""}]"
The room is small but enough just to rest after out all day .,"[{""aspect"": ""room"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""room"", ""opinion"": ""enough"", ""polarity"": ""NEU"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
Cold room & hot shower is enough for us .,"[{""aspect"": ""room"", ""opinion"": ""enough"", ""polarity"": ""NEU"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""shower"", ""opinion"": ""enough"", ""polarity"": ""NEU"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""Cold"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""shower"", ""polarity"": ""POS"", ""opinion"": ""hot"", ""category"": ""ROOM#BATHROOM""}]"
"The hotel is brand new so its clean , bright but come with no breakfast but is not big problem since many restaurant around the hotel .","[{""aspect"": ""hotel"", ""opinion"": ""brand new"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""hotel"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""HOTEL#CLEANLINESS""}, {""aspect"": ""hotel"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""HOTEL#CLEANLINESS""}, {""aspect"": ""breakfast"", ""opinion"": ""no"", ""polarity"": ""NEG"", ""category"": ""FOOD#GENERAL""}, {""aspect"": ""restaurant"", ""opinion"": ""many"", ""polarity"": ""POS"", ""category"": ""FOOD#CHOICE""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""HOTEL#AMBIENCE""}, {""aspect"": ""breakfast"", ""polarity"": ""NEG"", ""opinion"": ""clean"", ""category"": ""HOTEL#CLEANLINESS""}]"
Perfect ! Budget hotel with excellent service the value you got is much more than what you pay Staff : smiley and helpful all the times Room : cleanliness is ok the AC work very well the bed is very comfy linen very clean towels are fresh and enough amenities in place Location : just perfect in middle of every thing very safe neighborhood .,"[{""aspect"": ""hotel"", ""opinion"": ""Budget"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""service"", ""opinion"": ""excellent"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""value"", ""opinion"": ""more than what you pay"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""Staff"", ""opinion"": ""smiley"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""cleanliness"", ""opinion"": ""ok"", ""polarity"": ""NEU"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""AC"", ""opinion"": ""work very well"", ""polarity"": ""POS"", ""category"": ""ROOM#AIRCON""}, {""aspect"": ""bed"", ""opinion"": ""comfy"", ""polarity"": ""POS"", ""category"": ""ROOM#BED""}, {""aspect"": ""linen"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""towels"", ""opinion"": ""fresh"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""amenities"", ""opinion"": ""enough"", ""polarity"": ""NEU"", ""category"": ""ROOM#AMENITIES""}, {""aspect"": ""Location"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""Location"", ""opinion"": ""safe"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""Perfect"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""service"", ""polarity"": ""POS"", ""opinion"": ""excellent"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""value"", ""polarity"": ""POS"", ""opinion"": ""excellent"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""bed"", ""polarity"": ""POS"", ""opinion"": ""comfy"", ""category"": ""ROOM#BED""}, {""aspect"": ""linen"", ""polarity"": ""POS"", ""opinion"": ""comfy"", ""category"": ""ROOM#BED""}, {""aspect"": ""towels"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""Amenities"", ""polarity"": ""POS"", ""opinion"": ""fresh"", ""category"": ""ROOM#AMENITIES""}, {""aspect"": ""Location"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""neighborhood"", ""polarity"": ""POS"", ""opinion"": ""safe"", ""category"": ""LOCATION#GENERAL""}]"
Nice place located near to Seminyak beach .,"[{""aspect"": ""place"", ""opinion"": ""Nice"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""place"", ""opinion"": ""near"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""Seminyak beach"", ""polarity"": ""POS"", ""opinion"": ""near"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""Nice"", ""category"": ""HOTEL#GENERAL""}]"
Breakfast is very good .,"[{""aspect"": ""Breakfast"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""Breakfast"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""FOOD#TASTE""}]"
Many restaurants nearby & they do provide good bike rental options .,"[{""aspect"": ""restaurants"", ""opinion"": ""Many"", ""polarity"": ""POS"", ""category"": ""FOOD#CHOICE""}, {""aspect"": ""bike rental"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""restaurants"", ""polarity"": ""POS"", ""opinion"": ""nearby"", ""category"": ""LOCATION#NEARBY_AMENITIES""}, {""aspect"": ""bike rental options"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""LOCATION#NEARBY_AMENITIES""}]"
